Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,clean_text,sentiment,hashtags,date,hour,sentiment_score,week,year
23,23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior, Twitter  ,[],20.0,40.0, UK       ,2023,1,22,9, just finished a challenging workout routine       ,positive,[],2023-01-22,9,1,3,2023
24,24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone, Facebook ,[],12.0,25.0, Canada  ,2023,1,22,14, celebrating a milestone at work                ,positive,[],2023-01-22,14,1,3,2023
25,25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  , Instagram ,[],15.0,30.0, UK ,2023,1,22,12, sunday brunch with friends                        ,positive,[],2023-01-22,12,1,3,2023
27,28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner, Facebook ,[],25.0,50.0, India     ,2023,1,23,16, learning a new language for personal growth       ,positive,[],2023-01-23,16,1,4,2023
28,29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    , Instagram ,[],15.0,30.0, Australia ,2023,1,23,19, quiet evening with a good book                    ,positive,[],2023-01-23,19,1,4,2023
29,30, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  ,[],22.0,45.0, USA      ,2023,1,24,11, reflecting on the importance of mental health     ,positive,[],2023-01-24,11,1,4,2023
30,31, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction, Facebook ,[],12.0,25.0, Canada ,2023,1,24,15, new painting in progress                        ,positive,[],2023-01-24,15,1,4,2023
31,32, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  , Instagram ,[],18.0,35.0, UK        ,2023,1,24,17, weekend road trip to explore scenic views         ,neutral,[],2023-01-24,17,0,4,2023
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher, Twitter  ,[],15.0,30.0, India    ,2023,1,25,18, enjoying a cup of tea and watching the sunset     ,positive,[],2023-01-25,18,1,4,2023
33,34, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast, Facebook ,[],30.0,60.0, USA ,2023,1,25,13, coding a new project with enthusiasm              ,positive,[],2023-01-25,13,1,4,2023
34,35, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram ,[],25.0,50.0,USA,2023,1,26,9, feeling inspired after attending a workshop       ,positive,[],2023-01-26,9,1,4,2023
35,36, Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  , Twitter  ,[],15.0,30.0, Canada   ,2023,1,26,14, winter sports day at the local park               ,neutral,[],2023-01-26,14,0,4,2023
36,37, Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   , Facebook ,[],22.0,45.0, UK        ,2023,1,26,17, quality time with family this weekend             ,neutral,[],2023-01-26,17,0,4,2023
37,38, Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   , Instagram ,[],18.0,35.0, USA ,2023,1,27,20, attending a live music concert tonight            ,neutral,[],2023-01-27,20,0,4,2023
38,39, Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments, Twitter  ,[],15.0,30.0, India    ,2023,1,27,12, practicing mindfulness with meditation            ,neutral,[],2023-01-27,12,0,4,2023
39,40, Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer, Facebook ,[],12.0,25.0, Canada ,2023,1,27,16, trying out a new dessert recipe                   ,neutral,[],2023-01-27,16,0,4,2023
40,41, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast, Instagram ,[],30.0,60.0,USA,2023,1,28,9, excited about the upcoming gaming tournament      ,positive,[],2023-01-28,9,1,4,2023
41,42, Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner , Twitter  ,[],25.0,50.0, USA      ,2023,1,28,14, planning a garden makeover for spring             ,neutral,[],2023-01-28,14,0,4,2023
42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash , Facebook ,[],15.0,30.0, UK ,2023,1,28,19, celebrating a friends birthday tonight        ,positive,[],2023-01-28,19,1,4,2023
43,44, Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin, Instagram ,[],22.0,45.0, India ,2023,1,29,17, feeling accomplished after a productive day       ,positive,[],2023-01-29,17,1,4,2023
44,45, A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   , Twitter  ,[],18.0,35.0, Canada   ,2023,1,29,20, a cozy evening with a good movie                 ,positive,[],2023-01-29,20,1,4,2023
45,46, Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  , Facebook ,[],15.0,30.0, USA      ,2023,1,30,11, exploring local art galleries this weekend        ,neutral,[],2023-01-30,11,0,5,2023
46,47, New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    , Instagram ,[],12.0,25.0, UK   ,2023,1,30,15, new book release from my favorite author          ,positive,[],2023-01-30,15,1,5,2023
47,48, Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     , Twitter  ,[],28.0,55.0, India    ,2023,1,30,18, attending a virtual reality meetup                ,neutral,[],2023-01-30,18,0,5,2023
48,49, Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  , Facebook ,[],15.0,30.0, Australia ,2023,1,31,10, reflecting on the beauty of nature                ,positive,[],2023-01-31,10,1,5,2023
49,50, Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   , Instagram ,[],20.0,40.0, USA       ,2023,1,31,19, cooking a special dinner for loved ones           ,positive,[],2023-01-31,19,1,5,2023
50,51, Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset, Twitter  ,[],15.0,30.0, Canada   ,2023,1,31,16, feeling optimistic about the week ahead           ,positive,[],2023-01-31,16,1,5,2023
51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2023-02-01 08:00:00, FitnessChallenge, Facebook ,[],22.0,45.0, UK         ,2023,2,1,8, starting a new fitness challenge tomorrow      ,positive,[],2023-02-01,8,1,5,2023
52,53, Sunday bike ride through scenic trails.           , Positive  ,2023-02-01 13:30:00, BikeExplorer  , Instagram ,[],18.0,35.0, USA     ,2023,2,1,13, sunday bike ride through scenic trails           ,neutral,[],2023-02-01,13,0,5,2023
53,55, Can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00, SocialJustice   , Twitter  ,[],20.0,40.0, Canada     ,2023,2,11,9, cant believe the injustice happening in our society,positive,[],2023-02-11,9,1,6,2023
54,56, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023-02-11 21:15:00, ThrillerFan     , Instagram ,[],15.0,30.0, USA          ,2023,2,11,21, feeling a sense of fear after watching a thriller movie ,negative,[],2023-02-11,21,-1,6,2023
55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023-02-12 14:45:00, EmpathyFirst    , Facebook ,[],25.0,50.0, India      ,2023,2,12,14, heartbroken after hearing the news about a natural disaster ,negative,[],2023-02-12,14,-1,6,2023
56,58, The state of the world's environment is just disgusting. , Disgust      ,2023-02-12 18:20:00, EcoAwareness    , Twitter  ,[],18.0,35.0, UK         ,2023,2,12,18, the state of the worlds environment is just disgusting ,negative,[],2023-02-12,18,-1,6,2023
57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     , Instagram ,[],30.0,60.0, USA ,2023,2,13,10, pure happiness celebrating a loved ones achievement ,positive,[],2023-02-13,10,1,7,2023
58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       , Facebook ,[],22.0,45.0, Canada    ,2023,2,13,19, laughter is the best medicineenjoying a comedy show ,positive,[],2023-02-13,19,1,7,2023
59,61, Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    , Twitter  ,[],15.0,30.0, Australia  ,2023,2,14,8, sharing love and positive vibes with everyone       ,positive,[],2023-02-14,8,1,7,2023
60,62, An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      , Instagram ,[],18.0,35.0, UK           ,2023,2,14,14, an amusing incident brightened up my day               ,positive,[],2023-02-14,14,1,7,2023
61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  , Facebook ,[],25.0,50.0, Canada       ,2023,2,14,19, enjoying a quiet evening with a book and some tea      ,positive,[],2023-02-14,19,1,7,2023
62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   , Twitter  ,[],20.0,40.0, USA       ,2023,2,15,11, admiring the beauty of nature during a peaceful hike   ,positive,[],2023-02-15,11,1,7,2023
63,65, Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender , Instagram ,[],15.0,30.0,USA,2023,2,15,16, sending affectionate vibes to all my followers          ,positive,[],2023-02-15,16,1,7,2023
64,66, Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       , Facebook ,[],22.0,45.0, Australia   ,2023,2,15,20, experiencing awe at the breathtaking sunset            ,positive,[],2023-02-15,20,1,7,2023
65,67, Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  ,[],18.0,35.0, India      ,2023,2,16,9, disappointed with the service at a local restaurant    ,negative,[],2023-02-16,9,-1,7,2023
66,68, A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   , Instagram ,[],25.0,50.0, USA          ,2023,2,16,14, a surprise gift from a friend made my day              ,positive,[],2023-02-16,14,1,7,2023
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook ,[],15.0,30.0, Canada     ,2023,2,16,18, finding acceptance in the midst of lifes challenges   ,positive,[],2023-02-16,18,1,7,2023
68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       , Twitter  ,[],22.0,45.0, UK        ,2023,2,17,10, overflowing with adoration for my adorable pet       ,positive,[],2023-02-17,10,1,7,2023
69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  , Instagram ,[],20.0,40.0,USA,2023,2,17,7, anticipating a thrilling adventure in the coming weeks ,positive,[],2023-02-17,7,1,7,2023
70,72, A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter , Facebook ,[],18.0,35.0, USA       ,2023,2,17,15, a bitter experience turned into a valuable lesson      ,positive,[],2023-02-17,15,1,7,2023
71,73, Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       , Twitter  ,[],15.0,30.0, India     ,2023,2,18,9, finding calmness in the midst of a busy day            ,positive,[],2023-02-18,9,1,7,2023
72,74, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    , Instagram ,[],25.0,50.0, UK   ,2023,2,18,14, confusion clouds my mind as i navigate through decisions,negative,[],2023-02-18,14,-1,7,2023
73,75, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer , Facebook ,[],22.0,45.0, Canada    ,2023,2,18,18, excitement building up for the upcoming vacation       ,positive,[],2023-02-18,18,1,7,2023
74,76, Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails, Twitter  ,[],20.0,40.0, USA       ,2023,2,19,11, kindness witnessed today restored my faith in humanity ,positive,[],2023-02-19,11,1,7,2023
75,77, Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever, Instagram ,[],30.0,60.0, Australia    ,2023,2,19,16, pride in achieving a personal milestone               ,positive,[],2023-02-19,16,1,7,2023
76,78, A moment of shame for not standing up against injustice. , Shame        ,2023-02-19 19:45:00, ReflectiveSelf  , Facebook ,[],15.0,30.0, India      ,2023,2,19,19, a moment of shame for not standing up against injustice ,negative,[],2023-02-19,19,-1,7,2023
77,79, Fuming with anger after a heated argument.            , Anger        ,2023-02-20 09:30:00, AngryDebater    , Twitter  ,[],20.0,40.0, Canada     ,2023,2,20,9, fuming with anger after a heated argument            ,negative,[],2023-02-20,9,-1,8,2023
78,80, The fear of the unknown is keeping me up at night.    , Fear         ,2023-02-20 21:15:00, FearfulDreamer  , Instagram ,[],15.0,30.0, USA          ,2023,2,20,21, the fear of the unknown is keeping me up at night    ,negative,[],2023-02-20,21,-1,8,2023
79,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   , Facebook ,[],25.0,50.0, India      ,2023,2,21,14, heartfelt sadness after bidding farewell to a dear friend ,positive,[],2023-02-21,14,1,8,2023
80,82, The state of corruption in our society is utterly disgusting. , Disgust      ,2023-02-21 18:20:00, AntiCorruption  , Twitter  ,[],18.0,35.0, UK         ,2023,2,21,18, the state of corruption in our society is utterly disgusting ,negative,[],2023-02-21,18,-1,8,2023
81,83, Overflowing happiness: welcoming a new family member!  , Happiness    ,2023-02-22 10:00:00, NewParentJoy    , Instagram ,[],30.0,60.0, UK           ,2023,2,22,10, overflowing happiness welcoming a new family member  ,positive,[],2023-02-22,10,1,8,2023
82,84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2023-02-22 19:30:00, StandUpFan      , Facebook ,[],22.0,45.0, Canada    ,2023,2,22,19, laughter is the key to joyattending a standup comedy show ,positive,[],2023-02-22,19,1,8,2023
83,85, Sending love to all my followers on this beautiful day! ❤️ , Love         ,2023-02-23 08:30:00, LoveSender      , Twitter  ,[],15.0,30.0, Australia  ,2023,2,23,8, sending love to all my followers on this beautiful day  ,positive,[],2023-02-23,8,1,8,2023
84,86, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2023-02-23 14:20:00, PetAmuser       , Instagram ,[],18.0,35.0, UK           ,2023,2,23,14, amused by the antics of my petits pure amusement      ,positive,[],2023-02-23,14,1,8,2023
85,87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2023-02-23 19:45:00, TravelExplorer  , Facebook ,[],25.0,50.0, USA ,2023,2,23,19, enjoying every moment of this trippure enjoyment      ,positive,[],2023-02-23,19,1,8,2023
86,88, Admiring the dedication of volunteers at a local charity. , Admiration   ,2023-02-24 11:30:00, CharityAdmirer  , Twitter  ,[],20.0,40.0, USA        ,2023,2,24,11, admiring the dedication of volunteers at a local charity ,positive,[],2023-02-24,11,1,8,2023
87,89, Sending affectionate vibes to friends and family.        , Affection    ,2023-02-24 16:00:00, FamilyLover     , Instagram ,[],15.0,30.0,USA,2023,2,24,16, sending affectionate vibes to friends and family        ,positive,[],2023-02-24,16,1,8,2023
88,90, Awe-struck by the beauty of the night sky.               , Awe          ,2023-02-24 20:30:00, Stargazer       , Facebook ,[],22.0,45.0, Australia ,2023,2,24,20, awestruck by the beauty of the night sky               ,positive,[],2023-02-24,20,1,8,2023
89,91, Disappointed with the lack of progress in a personal project. , Disappointed ,2023-02-25 09:00:00, ProjectStruggle , Twitter  ,[],18.0,35.0, India      ,2023,2,25,9, disappointed with the lack of progress in a personal project ,negative,[],2023-02-25,9,-1,8,2023
90,92, A surprise visit from an old friend brought tears of joy. , Surprise     ,2023-02-25 14:45:00, JoyfulReunion   , Instagram ,[],25.0,50.0, USA          ,2023,2,25,14, a surprise visit from an old friend brought tears of joy ,positive,[],2023-02-25,14,1,8,2023
91,93, Embracing acceptance of life's ups and downs.           , Acceptance   ,2023-02-25 18:20:00, LifeAcceptance  , Facebook ,[],15.0,30.0, Canada     ,2023,2,25,18, embracing acceptance of lifes ups and downs           ,positive,[],2023-02-25,18,1,8,2023
92,94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2023-02-26 10:45:00, PuppyAdmirer    , Twitter  ,[],22.0,45.0, UK         ,2023,2,26,10, overflowing adoration for a cute rescue puppy        ,positive,[],2023-02-26,10,1,8,2023
93,95, Anticipating the release of a much-awaited movie.       , Anticipation ,2023-02-26 07:30:00, MovieBuff2      , Instagram ,[],20.0,40.0, Australia    ,2023,2,26,7, anticipating the release of a muchawaited movie       ,neutral,[],2023-02-26,7,0,8,2023
94,96, Bitter experience at the customer service department.   , Bitter       ,2023-02-26 15:00:00, CustomerWoes    , Facebook ,[],18.0,35.0, USA       ,2023,2,26,15, bitter experience at the customer service department   ,negative,[],2023-02-26,15,-1,8,2023
95,97, Finding calmness amidst the chaos of daily life.        , Calmness     ,2023-02-27 09:30:00, CalmSoul        , Twitter  ,[],15.0,30.0, India     ,2023,2,27,9, finding calmness amidst the chaos of daily life        ,negative,[],2023-02-27,9,-1,9,2023
96,98, Confusion reigns as I try to make sense of recent events., Confusion    ,2023-02-27 14:20:00, ConfusedMind2   , Instagram ,[],25.0,50.0, UK   ,2023,2,27,14, confusion reigns as i try to make sense of recent events,negative,[],2023-02-27,14,-1,9,2023
97,99, Excitement building up for a surprise birthday party.   , Excitement   ,2023-02-27 18:45:00, BirthdayExcite  , Facebook ,[],22.0,45.0, Canada ,2023,2,27,18, excitement building up for a surprise birthday party   ,positive,[],2023-02-27,18,1,9,2023
98,100, Witnessed an act of kindness that made my day.          , Kind         ,2023-02-28 11:30:00, KindnessObserver, Twitter  ,[],20.0,40.0, USA       ,2023,2,28,11, witnessed an act of kindness that made my day          ,positive,[],2023-02-28,11,1,9,2023
99,101, Pride in completing a challenging fitness challenge.    , Pride        ,2023-02-28 16:00:00, FitAchiever     , Instagram ,[],30.0,60.0, UK            ,2023,2,28,16, pride in completing a challenging fitness challenge    ,positive,[],2023-02-28,16,1,9,2023
100,102, A moment of shame for not speaking up against injustice., Shame        ,2023-02-28 19:45:00, ReflectiveSelf2 , Facebook ,[],15.0,30.0, India     ,2023,2,28,19, a moment of shame for not speaking up against injustice,negative,[],2023-02-28,19,-1,9,2023
101,103, Reflecting on the beauty of diversity in our world.     , Acceptance   ,2023-03-01 10:45:00, DiversityLover  , Twitter  ,[],22.0,45.0, Australia ,2023,3,1,10, reflecting on the beauty of diversity in our world     ,positive,[],2023-03-01,10,1,9,2023
102,104, Excitement for a quiet evening with a good book.        , Excitement   ,2023-03-01 13:30:00, BookwormJoy     , Instagram ,[],18.0,35.0, USA          ,2023,3,1,13, excitement for a quiet evening with a good book        ,positive,[],2023-03-01,13,1,9,2023
103,105, Feeling bitter about the unfairness in the workplace.   , Bitter       ,2023-03-01 17:45:00, WorkplaceWoes   , Twitter  ,[],15.0,30.0, Canada    ,2023,3,1,17, feeling bitter about the unfairness in the workplace   ,negative,[],2023-03-01,17,-1,9,2023
104,106, Calmness prevails as I practice mindfulness.            , Calmness     ,2023-03-02 18:00:00, MindfulMe       , Facebook ,[],15.0,30.0, UK        ,2023,3,2,18, calmness prevails as i practice mindfulness            ,positive,[],2023-03-02,18,1,9,2023
105,107, Confusion surrounds me as I navigate through life's choices. , Confusion ,2023-03-02 13:15:00, ConfusedMind3   , Instagram ,[],30.0,60.0, USA   ,2023,3,2,13, confusion surrounds me as i navigate through lifes choices ,negative,[],2023-03-02,13,-1,9,2023
106,108, Excitement for a weekend road trip to explore new places. , Excitement ,2023-03-02 16:45:00, RoadTripper2    , Twitter  ,[],25.0,50.0, India     ,2023,3,2,16, excitement for a weekend road trip to explore new places ,positive,[],2023-03-02,16,1,9,2023
107,109, Kindness witnessed today restores my faith in humanity.  , Kind         ,2023-03-03 11:30:00, KindnessPrevails2, Facebook ,[],22.0,45.0, USA       ,2023,3,3,11, kindness witnessed today restores my faith in humanity  ,positive,[],2023-03-03,11,1,9,2023
108,110, Pride in accomplishing personal and professional goals.  , Pride        ,2023-03-03 14:30:00, GoalAchiever    , Instagram ,[],12.0,25.0, Canada ,2023,3,3,14, pride in accomplishing personal and professional goals  ,positive,[],2023-03-03,14,1,9,2023
109,111, Shame for not being true to my values in a difficult situation., Shame ,2023-03-03 12:00:00, ReflectiveSelf3 , Twitter  ,[],15.0,30.0, UK        ,2023,3,3,12, shame for not being true to my values in a difficult situation,negative,[],2023-03-03,12,-1,9,2023
110,112," Revisiting old memories, feeling a sense of elation. ", Elation       ,2010-05-15 15:30:00, NostalgiaFan    , Twitter  ,[],20.0,40.0, Canada    ,2010,5,15,15, revisiting old memories feeling a sense of elation ,positive,[],2010-05-15,15,1,19,2010
111,113, The victory of our team brought euphoria to the city. , Euphoria      ,2021-08-10 21:15:00, SportsFanatic   , Instagram ,[],15.0,30.0, USA      ,2021,8,10,21, the victory of our team brought euphoria to the city ,positive,[],2021-08-10,21,1,32,2021
112,114," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,2011-06-20 14:45:00, NatureLover2    , Facebook ,[],25.0,50.0, India       ,2011,6,20,14, embracing the beauty of nature a moment of contentment ,positive,[],2011-06-20,14,1,25,2011
113,115," Meditating by the serene lake, finding inner peace.   ", Serenity      ,2022-02-12 18:20:00, ZenMaster2      , Twitter  ,[],18.0,35.0, UK          ,2022,2,12,18, meditating by the serene lake finding inner peace   ,positive,[],2022-02-12,18,1,6,2022
114,116, Overflowing with gratitude for life's blessings.      , Gratitude     ,2012-11-25 10:00:00, ThankfulHeart   , Instagram ,[],30.0,60.0, Australia   ,2012,11,25,10, overflowing with gratitude for lifes blessings      ,positive,[],2012-11-25,10,1,47,2012
115,117," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,2013-04-05 19:30:00, OptimisticSoul  , Facebook ,[],22.0,45.0, USA      ,2013,4,5,19, hopeful for a brighter tomorrow despite challenges  ,positive,[],2013-04-05,19,1,14,2013
116,118, Empowered to make a difference in my community.        , Empowerment   ,2014-09-14 08:30:00, CommunityLeader , Twitter  ,[],15.0,30.0, UK       ,2014,9,14,8, empowered to make a difference in my community        ,neutral,[],2014-09-14,8,0,37,2014
